jobs,1future_count,1future_percent
Artist,3263,21.589254995368538
Producer,1534,10.149530236866482
Entrepreneur,1472,9.739314542807994
Content Creator,823,5.4452825195183285
CEO,822,5.438666137356095
Onlyfans,688,4.55207092761678
Designer,682,4.512372634643378
Writer,589,3.897049093555645
Creator,518,3.427285960037052
Musician,445,2.9442900621939927
Music Producer,358,2.368664814079662
Gamer,338,2.2363371708349877
Songwriter,335,2.2164880243482865
Model,315,2.084160381103613
DJ,293,1.9385999735344717
Coach,206,1.3629747254201403
Director,198,1.310043668122271
Influencer,186,1.2306470821754667
Chef,149,0.9858409421728201
Streamer,142,0.9395262670371842
