jobs,jackharlow_count,jackharlow_percent
Artist,6242,16.980875431867027
Producer,3227,8.778802470143368
Content Creator,2721,7.402268832122746
Entrepreneur,2373,6.455561903207379
Writer,1995,5.427242308006204
Designer,1531,4.164966402785713
Onlyfans,1408,3.830354471013902
Gamer,1313,3.5719143611088446
Creator,1263,3.4358932506324984
CEO,1247,3.3923664952800676
Musician,1037,2.821077831279415
Coach,871,2.3694877444979463
Streamer,798,2.1708969232024815
Model,789,2.146413123316739
Songwriter,753,2.0484779237737705
Music Producer,722,1.9641448352784356
Editor,695,1.8906934356212088
Teacher,672,1.8281237248020894
DJ,654,1.7791561250306052
Director,619,1.6839413476971625
