nationality,jcolenc_count,jcolenc_percent
South Africa,1342,7.840158906350411
Nigeria,1293,7.553893789799614
Mexico,1278,7.466261611263655
United Kingdom,826,4.825611964713442
Canada,770,4.498451831512532
Jamaica,730,4.264766022083309
Ghana,647,3.779867967517672
Puerto Rico,643,3.75649938657475
Italy,486,2.8392825845650527
Dominican Republic,463,2.7049132441432495
Haiti,410,2.3952795466495296
Kenya,318,1.8578021849623185
Philippines,315,1.8402757492551263
Brazil,301,1.7584857159548988
China,297,1.7351171350119765
India,290,1.6942221183618624
Germany,276,1.6124320850616345
France,254,1.4839048898755625
Japan,245,1.4313255827539872
Trinidad & Tobago,238,1.3904305661038734
