User,Normalized,Category Level 1,Category Level 2,Entity
kendricklamar,100.0,Music,Rapper,Person
elonmusk,34.166666666666664,Technology,Tech Entrepreneur,Person
kanyewest,30.833333333333336,Music,Rapper,Person
BarackObama,22.5,Politics,Politician,Person
Twitter,21.666666666666668,Technology,Tech Company,Company
KingJames,19.166666666666668,Sports,Basketball Player,Person
Drake,17.5,Music,Rapper,Person
tylerthecreator,16.666666666666664,,,
verified,16.666666666666664,Technology,Tech Company,Company
iamcardib,16.666666666666664,Music,Rapper,Person
rihanna,15.833333333333332,Music,Pop Artist,Person
NICKIMINAJ,15.833333333333332,Music,Rapper,Person
jack,14.166666666666666,Technology,Tech Entrepreneur,Person
theweeknd,13.333333333333334,Music,Pop Artist,Person
SnoopDogg,12.5,Music,Rapper,Person
AOC,12.5,Politics,Politician,Person
JColeNC,12.5,Music,Rapper,Person
JoeBiden,12.5,Politics,Politician,Person
Eminem,10.833333333333334,Music,Rapper,Person
KimKardashian,10.833333333333334,,,
Beyonce,10.833333333333334,,,
Zendaya,10.833333333333334,,,
NBA,10.0,Sports,Sports League,Organization
POTUS,10.0,Politics,Politician,Person
LilTunechi,9.166666666666666,Music,Rapper,Person
netflix,9.166666666666666,Technology,Tech Company,Company
YouTube,9.166666666666666,Technology,Tech Company,Company
Sethrogen,8.333333333333332,,,
KDTrey5,8.333333333333332,Sports,Basketball Player,Person
sza,8.333333333333332,Musics,Pop Artist,Person
LilNasX,8.333333333333332,Music,Rapper,Person
KiDCuDi,8.333333333333332,Music,Rapper,Person
aliciakeys,7.5,Music,Pop Artist,Person
StephenCurry30,7.5,Sports,Basketball Player,Person
britneyspears,7.5,Music,Pop Artist,Person
WORLDSTAR,6.666666666666667,,,
theestallion,6.666666666666667,Music,Rapper,Person
Variety,6.666666666666667,,,
JohnCena,6.666666666666667,,,
1future,6.666666666666667,,,
