nationality,kith_count,kith_percent
Mexico,527,6.861085796120298
Puerto Rico,506,6.587683895326128
Dominican Republic,491,6.392396823330296
United Kingdom,389,5.0644447337586245
Japan,382,4.973310766827236
Philippines,336,4.374430412706678
Canada,325,4.231219893243067
Jamaica,291,3.788569196719177
Italy,244,3.1766697044655645
France,241,3.1376122900663974
Colombia,201,2.6168467647441735
China,198,2.577789350345007
Jordan,194,2.5257127978127842
Haiti,190,2.473636245280562
Nigeria,165,2.148157791954173
El Salvadorian,139,1.809660200494727
Germany,135,1.7575836479625049
Australia,127,1.65343054289806
Brazil,109,1.4190860565030594
South Africa,107,1.3930477802369483
