jobs,louisvuitton_count,louisvuitton_percent
Artist,2389,14.279736999402271
Designer,2036,12.169754931261206
Entrepreneur,2001,11.960549910340704
Content Creator,1074,6.419605499103407
Model,960,5.738194859533772
Writer,799,4.775851763299462
Onlyfans,679,4.058577405857741
CEO,651,3.8912133891213387
Creator,450,2.689778840406455
Teacher,447,2.671846981470412
Producer,393,2.3490735206216375
Director,365,2.1817095038852363
Coach,354,2.1159593544530786
Influencer,293,1.7513448894202033
Musician,245,1.4644351464435146
Chef,232,1.3867304243873282
Author,232,1.3867304243873282
Gamer,218,1.3030484160191274
Management,217,1.297071129707113
Traveling,202,1.2074118350268976
