city,rolex_count,rolex_percent
New York,81,10.397946084724003
Florida,75,9.62772785622593
Texas,70,8.985879332477536
Chicago,70,8.985879332477536
New York City,68,8.729139922978176
Miami,66,8.472400513478819
Georgia,51,6.546854942233632
Washington DC,46,5.905006418485236
Houston,44,5.648267008985879
Atlanta,24,3.0808729139922972
Brooklyn,24,3.0808729139922972
Cleveland,23,2.952503209242618
Tokyo,18,2.310654685494223
Tampa,18,2.310654685494223
Tennessee,17,2.182284980744544
New Orleans,16,2.0539152759948647
Connecticut,12,1.5404364569961486
Bronx,12,1.5404364569961486
Queens,11,1.4120667522464698
Baltimore,10,1.2836970474967906
