city,telfarglobal_count,telfarglobal_percent
New York City,434,19.374999999999996
New York,208,9.285714285714285
Atlanta,204,9.107142857142856
Brooklyn,187,8.348214285714285
Chicago,169,7.544642857142857
Houston,124,5.535714285714285
Georgia,123,5.491071428571429
Washington DC,121,5.401785714285714
DMV,108,4.821428571428571
Texas,92,4.107142857142857
Florida,89,3.9732142857142847
Miami,79,3.5267857142857135
Bronx,60,2.678571428571428
Queens,50,2.2321428571428568
Baltimore,43,1.9196428571428572
New Orleans,37,1.6517857142857144
Connecticut,27,1.2053571428571428
Nashville,23,1.0267857142857142
Tennessee,18,0.8035714285714287
Cleveland,15,0.669642857142857
