interests,trvisxx_count,trvisxx_percent
Video Games,2482,15.00513874614594
Adult Content,1963,11.86748080527175
Black Lives Matter,1940,11.728432380146305
Fan Account,1009,6.099993954416299
Fashion,963,5.821897104165409
BTS Enthusiast,719,4.346774681095461
Beauty,619,3.7422163109848263
Entertainment,608,3.675714890272656
NFT Enthusiast,522,3.1557946919775106
Photographer,478,2.8897890091288314
United States Army,412,2.490780484855813
Cryptocurrency,408,2.466598150051388
Podcast,400,2.418233480442537
Singer,356,2.1522277975938584
Photography,328,1.9829514539628803
Nature Lover,294,1.7774016081252646
Health,227,1.3723475001511396
Technology,213,1.2877093283356509
Cosplay,204,1.233299075025694
Analyst,193,1.166797654313524
