interests,tylerthecreator_count,tylerthecreator_percent
Video Games,1722,17.88347699657285
Black Lives Matter,1080,11.216117976944645
Adult Content,957,9.938726762903727
Fashion,622,6.459653131166267
NFT Enthusiast,484,5.026482500778895
Fan Account,427,4.434520718662373
Photographer,420,4.361823657700695
Entertainment,342,3.5517706926991375
Podcast,332,3.4479177484681682
Photography,277,2.8767265551978394
Cryptocurrency,266,2.7624883165437737
Beauty,252,2.617094194620417
Singer,206,2.1393706511579595
Nature Lover,159,1.6512618132724062
Analyst,157,1.630491224426212
Technology,142,1.4747118080797588
BTS Enthusiast,135,1.4020147471180806
Health,134,1.3916294526949835
Mixed Martial Arts,123,1.2773912140409178
United States Army,119,1.2358500363485303
