city,bapeofficial_count,bapeofficial_percent
New York City,274,17.008069522036003
Chicago,186,11.545623836126628
New York,169,10.490378646803228
Miami,116,7.200496585971446
Tokyo,111,6.890130353817504
Brooklyn,102,6.33147113594041
Houston,97,6.021104903786468
Washington DC,72,4.4692737430167595
Texas,67,4.158907510862818
Florida,64,3.972687771570453
Atlanta,54,3.35195530726257
Georgia,44,2.7312228429546868
DMV,40,2.4829298572315333
Queens,39,2.4208566108007448
Cleveland,35,2.1725636250775913
Bronx,35,2.1725636250775913
Connecticut,25,1.5518311607697082
New Orleans,20,1.2414649286157666
Tampa,20,1.2414649286157666
Baltimore,14,0.8690254500310366
