interests,drake_count,drake_percent
NFT Enthusiast,2352,11.161731207289293
Video Games,1903,9.030941533788914
Fashion,1731,8.214692482915718
Cryptocurrency,1531,7.265565679574791
Entertainment,1251,5.936788154897494
Beauty,906,4.2995444191343966
Black Lives Matter,757,3.5924449506454064
Photographer,717,3.402619589977221
Singer,651,3.089407744874715
Podcast,607,2.8805998481397115
Investor,597,2.8331435079726646
Adult Content,592,2.809415337889142
Health,591,2.804669703872437
Analyst,549,2.6053530751708425
Nature Lover,497,2.3585801063022016
Technology,456,2.164009111617312
United States Army,434,2.05960516324981
Photography,388,1.8413059984813969
BTS Enthusiast,384,1.822323462414578
Fan Account,380,1.8033409263477598
