city,nickiminaj_count,nickiminaj_percent
New York City,240,11.283497884344145
Chicago,192,9.026798307475316
New York,188,8.838740009402915
Florida,157,7.381288199341794
Miami,144,6.770098730606487
Brooklyn,143,6.723084156088387
Georgia,139,6.535025858015985
Houston,139,6.535025858015985
Atlanta,130,6.11189468735308
Washington DC,105,4.936530324400564
Queens,101,4.7484720263281615
Texas,88,4.137282557592853
Bronx,54,2.5387870239774326
DMV,49,2.30371415138693
Tennessee,41,1.9275975552421247
New Orleans,39,1.8335684062059234
Baltimore,37,1.739539257169722
Tampa,29,1.3634226610249176
Connecticut,29,1.3634226610249176
Cleveland,27,1.2693935119887163
